lcsc_id,mpn,manufacturer,category,subcategory,package,voltage_v,capacitance_f,resistance_ohm,inductance_h,tolerance,temp_coeff,power_w,stock,price_cny,moq,description,keywords
,ERJ-2GEJ4R7X,Panasonic,Resistor,Thick Film,0402,,,4.7,,±1%,±100ppm/°C,0.0625,,,,4.7Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ6R8X,Panasonic,Resistor,Thick Film,0402,,,6.8,,±1%,±100ppm/°C,0.0625,,,,6.8Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ100X,Panasonic,Resistor,Thick Film,0402,,,10.0,,±1%,±100ppm/°C,0.0625,,,,10Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ150X,Panasonic,Resistor,Thick Film,0402,,,15.0,,±1%,±100ppm/°C,0.0625,,,,15Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ220X,Panasonic,Resistor,Thick Film,0402,,,22.0,,±1%,±100ppm/°C,0.0625,,,,22Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ330X,Panasonic,Resistor,Thick Film,0402,,,33.0,,±1%,±100ppm/°C,0.0625,,,,33Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ470X,Panasonic,Resistor,Thick Film,0402,,,47.0,,±1%,±100ppm/°C,0.0625,,,,47Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ680X,Panasonic,Resistor,Thick Film,0402,,,68.0,,±1%,±100ppm/°C,0.0625,,,,68Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ101X,Panasonic,Resistor,Thick Film,0402,,,100.0,,±1%,±100ppm/°C,0.0625,,,,100Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ151X,Panasonic,Resistor,Thick Film,0402,,,150.0,,±1%,±100ppm/°C,0.0625,,,,150Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ221X,Panasonic,Resistor,Thick Film,0402,,,220.0,,±1%,±100ppm/°C,0.0625,,,,220Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ331X,Panasonic,Resistor,Thick Film,0402,,,330.0,,±1%,±100ppm/°C,0.0625,,,,330Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ471X,Panasonic,Resistor,Thick Film,0402,,,470.0,,±1%,±100ppm/°C,0.0625,,,,470Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ681X,Panasonic,Resistor,Thick Film,0402,,,680.0,,±1%,±100ppm/°C,0.0625,,,,680Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ102X,Panasonic,Resistor,Thick Film,0402,,,1000.0,,±1%,±100ppm/°C,0.0625,,,,1000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ152X,Panasonic,Resistor,Thick Film,0402,,,1500.0,,±1%,±100ppm/°C,0.0625,,,,1500Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ222X,Panasonic,Resistor,Thick Film,0402,,,2200.0,,±1%,±100ppm/°C,0.0625,,,,2200Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ332X,Panasonic,Resistor,Thick Film,0402,,,3300.0,,±1%,±100ppm/°C,0.0625,,,,3300Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ472X,Panasonic,Resistor,Thick Film,0402,,,4700.0,,±1%,±100ppm/°C,0.0625,,,,4700Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ682X,Panasonic,Resistor,Thick Film,0402,,,6800.0,,±1%,±100ppm/°C,0.0625,,,,6800Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ103X,Panasonic,Resistor,Thick Film,0402,,,10000.0,,±1%,±100ppm/°C,0.0625,,,,10000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ153X,Panasonic,Resistor,Thick Film,0402,,,15000.0,,±1%,±100ppm/°C,0.0625,,,,15000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ223X,Panasonic,Resistor,Thick Film,0402,,,22000.0,,±1%,±100ppm/°C,0.0625,,,,22000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ333X,Panasonic,Resistor,Thick Film,0402,,,33000.0,,±1%,±100ppm/°C,0.0625,,,,33000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ473X,Panasonic,Resistor,Thick Film,0402,,,47000.0,,±1%,±100ppm/°C,0.0625,,,,47000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ683X,Panasonic,Resistor,Thick Film,0402,,,68000.0,,±1%,±100ppm/°C,0.0625,,,,68000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ104X,Panasonic,Resistor,Thick Film,0402,,,100000.0,,±1%,±100ppm/°C,0.0625,,,,100000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ154X,Panasonic,Resistor,Thick Film,0402,,,150000.0,,±1%,±100ppm/°C,0.0625,,,,150000Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,GRM1555C1H1R0CA01,Murata,Capacitor,C0G/NP0,0402,50.0,1e-12,,,±5%,±30ppm/°C,,,,,1e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H1R5CA01,Murata,Capacitor,C0G/NP0,0402,50.0,1.5e-12,,,±5%,±30ppm/°C,,,,,2e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H2R2CA01,Murata,Capacitor,C0G/NP0,0402,50.0,2.2e-12,,,±5%,±30ppm/°C,,,,,2e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H3R3CA01,Murata,Capacitor,C0G/NP0,0402,50.0,3.3e-12,,,±5%,±30ppm/°C,,,,,3e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H4R7CA01,Murata,Capacitor,C0G/NP0,0402,50.0,4.7e-12,,,±5%,±30ppm/°C,,,,,5e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H6R8DA01,Murata,Capacitor,C0G/NP0,0402,50.0,6.8e-12,,,±5%,±30ppm/°C,,,,,7e-12F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H100JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1e-11,,,±5%,±30ppm/°C,,,,,1e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H150JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1.5e-11,,,±5%,±30ppm/°C,,,,,1e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H220JA01,Murata,Capacitor,C0G/NP0,0402,50.0,2.2e-11,,,±5%,±30ppm/°C,,,,,2e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H330JA01,Murata,Capacitor,C0G/NP0,0402,50.0,3.3e-11,,,±5%,±30ppm/°C,,,,,3e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H470JA01,Murata,Capacitor,C0G/NP0,0402,50.0,4.7e-11,,,±5%,±30ppm/°C,,,,,5e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H680JA01,Murata,Capacitor,C0G/NP0,0402,50.0,6.8e-11,,,±5%,±30ppm/°C,,,,,7e-11F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H101JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1e-10,,,±5%,±30ppm/°C,,,,,1e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H151JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1.5e-10,,,±5%,±30ppm/°C,,,,,1e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H221JA01,Murata,Capacitor,C0G/NP0,0402,50.0,2.2e-10,,,±5%,±30ppm/°C,,,,,2e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H331JA01,Murata,Capacitor,C0G/NP0,0402,50.0,3.3e-10,,,±5%,±30ppm/°C,,,,,3e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H471JA01,Murata,Capacitor,C0G/NP0,0402,50.0,4.7e-10,,,±5%,±30ppm/°C,,,,,5e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H681JA01,Murata,Capacitor,C0G/NP0,0402,50.0,6.8e-10,,,±5%,±30ppm/°C,,,,,7e-10F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H102JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1e-09,,,±5%,±30ppm/°C,,,,,1e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H152JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1.5e-09,,,±5%,±30ppm/°C,,,,,1e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H222JA01,Murata,Capacitor,C0G/NP0,0402,50.0,2.2e-09,,,±5%,±30ppm/°C,,,,,2e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H332JA01,Murata,Capacitor,C0G/NP0,0402,50.0,3.3e-09,,,±5%,±30ppm/°C,,,,,3e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H472JA01,Murata,Capacitor,C0G/NP0,0402,50.0,4.7e-09,,,±5%,±30ppm/°C,,,,,5e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H682JA01,Murata,Capacitor,C0G/NP0,0402,50.0,6.8e-09,,,±5%,±30ppm/°C,,,,,7e-09F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM1555C1H103JA01,Murata,Capacitor,C0G/NP0,0402,50.0,1e-08,,,±5%,±30ppm/°C,,,,,1e-08F 0402 C0G 50V,capacitor 0402 C0G 50V
,GRM155R71C103KA01,Murata,Capacitor,X7R,0402,16.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C153KA01,Murata,Capacitor,X7R,0402,16.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C223KA01,Murata,Capacitor,X7R,0402,16.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C333KA01,Murata,Capacitor,X7R,0402,16.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C473KA01,Murata,Capacitor,X7R,0402,16.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C683KA01,Murata,Capacitor,X7R,0402,16.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C104KA01,Murata,Capacitor,X7R,0402,16.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C154KA01,Murata,Capacitor,X7R,0402,16.0,1.5e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71C224KA01,Murata,Capacitor,X7R,0402,16.0,2.2e-07,,,±10%,±15% (-55 to +125°C),,,,,2e-07F 0402 X7R 16V,capacitor 0402 X7R 16V
,GRM155R71E103KA01,Murata,Capacitor,X7R,0402,25.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E153KA01,Murata,Capacitor,X7R,0402,25.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E223KA01,Murata,Capacitor,X7R,0402,25.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E333KA01,Murata,Capacitor,X7R,0402,25.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E473KA01,Murata,Capacitor,X7R,0402,25.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E683KA01,Murata,Capacitor,X7R,0402,25.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E104KA01,Murata,Capacitor,X7R,0402,25.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E154KA01,Murata,Capacitor,X7R,0402,25.0,1.5e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71E224KA01,Murata,Capacitor,X7R,0402,25.0,2.2e-07,,,±10%,±15% (-55 to +125°C),,,,,2e-07F 0402 X7R 25V,capacitor 0402 X7R 25V
,GRM155R71H103KA01,Murata,Capacitor,X7R,0402,50.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H153KA01,Murata,Capacitor,X7R,0402,50.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H223KA01,Murata,Capacitor,X7R,0402,50.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H333KA01,Murata,Capacitor,X7R,0402,50.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H473KA01,Murata,Capacitor,X7R,0402,50.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H683KA01,Murata,Capacitor,X7R,0402,50.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM155R71H104KA01,Murata,Capacitor,X7R,0402,50.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0402 X7R 50V,capacitor 0402 X7R 50V
,GRM1885C1H1R0CA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-12,,,±5%,±30ppm/°C,,,,,1e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H1R5CA01,Murata,Capacitor,C0G/NP0,0603,50.0,1.5e-12,,,±5%,±30ppm/°C,,,,,2e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H2R2CA01,Murata,Capacitor,C0G/NP0,0603,50.0,2.2e-12,,,±5%,±30ppm/°C,,,,,2e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H3R3CA01,Murata,Capacitor,C0G/NP0,0603,50.0,3.3e-12,,,±5%,±30ppm/°C,,,,,3e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H4R7CA01,Murata,Capacitor,C0G/NP0,0603,50.0,4.7e-12,,,±5%,±30ppm/°C,,,,,5e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H6R8DA01,Murata,Capacitor,C0G/NP0,0603,50.0,6.8e-12,,,±5%,±30ppm/°C,,,,,7e-12F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H100JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-11,,,±5%,±30ppm/°C,,,,,1e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H150JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1.5e-11,,,±5%,±30ppm/°C,,,,,1e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H220JA01,Murata,Capacitor,C0G/NP0,0603,50.0,2.2e-11,,,±5%,±30ppm/°C,,,,,2e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H330JA01,Murata,Capacitor,C0G/NP0,0603,50.0,3.3e-11,,,±5%,±30ppm/°C,,,,,3e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H470JA01,Murata,Capacitor,C0G/NP0,0603,50.0,4.7e-11,,,±5%,±30ppm/°C,,,,,5e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H680JA01,Murata,Capacitor,C0G/NP0,0603,50.0,6.8e-11,,,±5%,±30ppm/°C,,,,,7e-11F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H101JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-10,,,±5%,±30ppm/°C,,,,,1e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H151JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1.5e-10,,,±5%,±30ppm/°C,,,,,1e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H221JA01,Murata,Capacitor,C0G/NP0,0603,50.0,2.2e-10,,,±5%,±30ppm/°C,,,,,2e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H331JA01,Murata,Capacitor,C0G/NP0,0603,50.0,3.3e-10,,,±5%,±30ppm/°C,,,,,3e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H471JA01,Murata,Capacitor,C0G/NP0,0603,50.0,4.7e-10,,,±5%,±30ppm/°C,,,,,5e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H681JA01,Murata,Capacitor,C0G/NP0,0603,50.0,6.8e-10,,,±5%,±30ppm/°C,,,,,7e-10F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H102JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-09,,,±5%,±30ppm/°C,,,,,1e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H152JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1.5e-09,,,±5%,±30ppm/°C,,,,,1e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H222JA01,Murata,Capacitor,C0G/NP0,0603,50.0,2.2e-09,,,±5%,±30ppm/°C,,,,,2e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H332JA01,Murata,Capacitor,C0G/NP0,0603,50.0,3.3e-09,,,±5%,±30ppm/°C,,,,,3e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H472JA01,Murata,Capacitor,C0G/NP0,0603,50.0,4.7e-09,,,±5%,±30ppm/°C,,,,,5e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H682JA01,Murata,Capacitor,C0G/NP0,0603,50.0,6.8e-09,,,±5%,±30ppm/°C,,,,,7e-09F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H103JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-08,,,±5%,±30ppm/°C,,,,,1e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H153JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1.5e-08,,,±5%,±30ppm/°C,,,,,1e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H223JA01,Murata,Capacitor,C0G/NP0,0603,50.0,2.2e-08,,,±5%,±30ppm/°C,,,,,2e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H333JA01,Murata,Capacitor,C0G/NP0,0603,50.0,3.3e-08,,,±5%,±30ppm/°C,,,,,3e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H473JA01,Murata,Capacitor,C0G/NP0,0603,50.0,4.7e-08,,,±5%,±30ppm/°C,,,,,5e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H683JA01,Murata,Capacitor,C0G/NP0,0603,50.0,6.8e-08,,,±5%,±30ppm/°C,,,,,7e-08F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM1885C1H104JA01,Murata,Capacitor,C0G/NP0,0603,50.0,1e-07,,,±5%,±30ppm/°C,,,,,1e-07F 0603 C0G 50V,capacitor 0603 C0G 50V
,GRM188R71C103KA01,Murata,Capacitor,X7R,0603,16.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C153KA01,Murata,Capacitor,X7R,0603,16.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C223KA01,Murata,Capacitor,X7R,0603,16.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C333KA01,Murata,Capacitor,X7R,0603,16.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C473KA01,Murata,Capacitor,X7R,0603,16.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C683KA01,Murata,Capacitor,X7R,0603,16.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C104KA01,Murata,Capacitor,X7R,0603,16.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C154KA01,Murata,Capacitor,X7R,0603,16.0,1.5e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C224KA01,Murata,Capacitor,X7R,0603,16.0,2.2e-07,,,±10%,±15% (-55 to +125°C),,,,,2e-07F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C334KA01,Murata,Capacitor,X7R,0603,16.0,3.3e-07,,,±10%,±15% (-55 to +125°C),,,,,3e-07F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C474KA01,Murata,Capacitor,X7R,0603,16.0,4.7e-07,,,±10%,±15% (-55 to +125°C),,,,,5e-07F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71C105KA01,Murata,Capacitor,X7R,0603,16.0,1e-06,,,±10%,±15% (-55 to +125°C),,,,,1e-06F 0603 X7R 16V,capacitor 0603 X7R 16V
,GRM188R71E103KA01,Murata,Capacitor,X7R,0603,25.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E153KA01,Murata,Capacitor,X7R,0603,25.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E223KA01,Murata,Capacitor,X7R,0603,25.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E333KA01,Murata,Capacitor,X7R,0603,25.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E473KA01,Murata,Capacitor,X7R,0603,25.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E683KA01,Murata,Capacitor,X7R,0603,25.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E104KA01,Murata,Capacitor,X7R,0603,25.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E154KA01,Murata,Capacitor,X7R,0603,25.0,1.5e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E224KA01,Murata,Capacitor,X7R,0603,25.0,2.2e-07,,,±10%,±15% (-55 to +125°C),,,,,2e-07F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E334KA01,Murata,Capacitor,X7R,0603,25.0,3.3e-07,,,±10%,±15% (-55 to +125°C),,,,,3e-07F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E474KA01,Murata,Capacitor,X7R,0603,25.0,4.7e-07,,,±10%,±15% (-55 to +125°C),,,,,5e-07F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71E105KA01,Murata,Capacitor,X7R,0603,25.0,1e-06,,,±10%,±15% (-55 to +125°C),,,,,1e-06F 0603 X7R 25V,capacitor 0603 X7R 25V
,GRM188R71H103KA01,Murata,Capacitor,X7R,0603,50.0,1e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H153KA01,Murata,Capacitor,X7R,0603,50.0,1.5e-08,,,±10%,±15% (-55 to +125°C),,,,,1e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H223KA01,Murata,Capacitor,X7R,0603,50.0,2.2e-08,,,±10%,±15% (-55 to +125°C),,,,,2e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H333KA01,Murata,Capacitor,X7R,0603,50.0,3.3e-08,,,±10%,±15% (-55 to +125°C),,,,,3e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H473KA01,Murata,Capacitor,X7R,0603,50.0,4.7e-08,,,±10%,±15% (-55 to +125°C),,,,,5e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H683KA01,Murata,Capacitor,X7R,0603,50.0,6.8e-08,,,±10%,±15% (-55 to +125°C),,,,,7e-08F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM188R71H104KA01,Murata,Capacitor,X7R,0603,50.0,1e-07,,,±10%,±15% (-55 to +125°C),,,,,1e-07F 0603 X7R 50V,capacitor 0603 X7R 50V
,GRM21BR71C105KA01,Murata,Capacitor,X7R,0805,16.0,1e-06,,,±10%,±15% (-55 to +125°C),,,,,1e-06F 0805 X7R 16V,capacitor 0805 X7R 16V
,GRM21BR71C225KA01,Murata,Capacitor,X7R,0805,16.0,2.2e-06,,,±10%,±15% (-55 to +125°C),,,,,2e-06F 0805 X7R 16V,capacitor 0805 X7R 16V
,GRM21BR71C475KA01,Murata,Capacitor,X7R,0805,16.0,4.7e-06,,,±10%,±15% (-55 to +125°C),,,,,5e-06F 0805 X7R 16V,capacitor 0805 X7R 16V
,GRM21BR71E105KA01,Murata,Capacitor,X7R,0805,25.0,1e-06,,,±10%,±15% (-55 to +125°C),,,,,1e-06F 0805 X7R 25V,capacitor 0805 X7R 25V
,GRM21BR71E225KA01,Murata,Capacitor,X7R,0805,25.0,2.2e-06,,,±10%,±15% (-55 to +125°C),,,,,2e-06F 0805 X7R 25V,capacitor 0805 X7R 25V
,GRM21BR71E475KA01,Murata,Capacitor,X7R,0805,25.0,4.7e-06,,,±10%,±15% (-55 to +125°C),,,,,5e-06F 0805 X7R 25V,capacitor 0805 X7R 25V
